"Source:","C:\Users\damie\OneDrive\Bureau\Stage_Sony_CSL_CORSET_Damien\Projets_principaux\led_controler\Kicad\Carte_driver_LED\Carte_driver_LED.kicad_sch"
"Date:","28/04/2025 18:29:50"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MANUFACTURER","MF","MP","PARTREV","Package","Price","STANDARD","SnapEDA_Link"
"1","2","C1, C2","2.2u","Device:C","Capacitor_SMD:CP_Elec_5x5.3","~","","","","","","","","","","","",""
"2","2","C3, C4","10n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","","",""
"3","4","C5, C6, C9, C10","2.2n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","","",""
"4","8","C7, C8, C11, C12, C13, C14, C15, C16","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","","",""
"5","2","C17, C20","10u","Device:C","Capacitor_SMD:CP_Elec_5x5.3","~","","","","","","","","","","","",""
"6","1","C18","100n","Device:C","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder","~","","","","","","","","","","","",""
"7","1","C19","100n","Device:C","Capacitor_SMD:CP_Elec_5x5.3","~","","","","","","","","","","","",""
"8","1","D1","D_Schottky","Device:D_Schottky","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","","","","","",""
"9","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","","","","",""
"10","1","J1","XT30","XT30:Conn_01x02","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical","~","","","","","","","","","","","",""
"11","1","J3","EcranIHM","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","",""
"12","1","J4","XT30_OUT1","XT30:Conn_01x02","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical","~","","","","","","","","","","","",""
"13","1","J5","XT30_OUT2","XT30:Conn_01x02","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical","~","","","","","","","","","","","",""
"14","1","J6","AN2","Connector_Generic:Conn_01x01","","~","","","","","","","","","","","",""
"15","1","J7","Signal1","Connector:Conn_Coaxial",""," ~","","","","","","","","","","","",""
"16","1","J8","Signal2","Connector:Conn_Coaxial",""," ~","","","","","","","","","","","",""
"17","1","J9","Encodeur Rotatif","Connector_Generic:Conn_01x03","","~","","","","","","","","","","","",""
"18","1","J10","Trigger","Connector_Generic:Conn_01x01","","~","","","","","","","","","","","",""
"19","1","J11","AN1","Connector_Generic:Conn_01x01","","~","","","","","","","","","","","",""
"20","2","L1, L2","220u","Device:L","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","","","","","",""
"21","1","U1","TSR1-2450E","Regulator_Switching:TSR1-2450E","Converter_DCDC:Converter_DCDC_TRACO_TSR1-xxxxE_THT","https://www.tracopower.com/products/tsr1e.pdf","","","","","","","","","","","",""
"22","1","U2","ESP32-DEVKITC","ESP32-DEVKITC:ESP32-DEVKITC","ESP32-DEVKITC:MODULE_ESP32-DEVKITC","","","In Stock","https://www.snapeda.com/parts/ESP32-DEVKITC/Olimex+LTD/view-part/?ref=eda","- ESP32-WROOM32 Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN), BluetoothÂ® Smart 4.x Low Energy (BLE) 2.4GHz Evaluation Board","ESPRESSIF","Olimex LTD","ESP32-DEVKITC","N/A","None","None","Manufacturer Recommendations","https://www.snapeda.com/parts/ESP32-DEVKITC/Olimex+LTD/view-part/?ref=snap"
"23","1","U3","RCD-24_1","RCD-24:RCD-24_1","Converter_DCDC:Converter_DCDC_RECOM_RCD-24_THT","","","","","","","","","","","","",""
"24","1","U4","RCD-24_2",":RCD-24_1_1","Converter_DCDC:Converter_DCDC_RECOM_RCD-24_THT","","","","","","","","","","","","",""
